t=2026-02-15T17:43:34+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-15T17:43:34+0000 lvl=info msg="using configuration at default config path" path=/home/noclout/.config/ngrok/ngrok.yml
t=2026-02-15T17:43:34+0000 lvl=info msg="open config file" path=/home/noclout/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T17:43:34+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T17:43:34+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T17:43:34+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=109510fbb37f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=196331336656 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=7bebd31f1947 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=2308219296a0 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=44a3ac1bc908 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=6dc2a64892ef l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=f86afed7f914 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=ec045c92b890 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=abcf6b6b4b29 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=e0c28e06f094 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=514a9304fc26 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=7dc182eb891b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=6e9a33e82f46 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=b0e55ac21b04 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=c05adb7ce0df l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=7abe0135e68f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=401ce154dce0 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=0f1cb850d96c l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=1ee54b39a6e0 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=7aec2d978b00 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=eb0bb129a528 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=4f6ad9f2353c l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=fdd37e856043 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52924
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=464235f09cfa l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=1b9e2bea59f2 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=a5f58132177f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=948a7a2084b9 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:59+0000 lvl=info msg="join connections" obj=join id=b8789136a615 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=6e343eb4b2c9 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=c1804c89dc7d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=dcde42026351 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=bf59cbd4120d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=501b6cc532b1 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=c759915cc405 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=20a3120c7f20 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:36+0000 lvl=info msg="join connections" obj=join id=2b7c4a35b323 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:42+0000 lvl=info msg="join connections" obj=join id=799d9e9c16d5 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:42+0000 lvl=info msg="join connections" obj=join id=4a69bffac179 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:42+0000 lvl=info msg="join connections" obj=join id=7c268828391d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:57:42+0000 lvl=info msg="join connections" obj=join id=5d91b69ddc21 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
